Origin,OriginState,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,hub_total_passengers_all,hub_total_passengers_valid,carriers_at_hub_all,carriers_at_hub_valid,hub_share,hub_HHI,hub_avg_fare_all,hub_min_fare_all
ATL,GA,AA,44375,1463,217.66,427.37,746569,746569,4,4,0.0594,4095.0,349.34,165.92
ATL,GA,B6,38535,568,165.92,660.95,746569,746569,4,4,0.0516,4095.0,349.34,165.92
ATL,GA,DL,283867,626,225.94,1956.13,746569,746569,4,4,0.3802,4095.0,349.34,165.92
ATL,GA,UA,379792,416,475.56,1693.86,746569,746569,4,4,0.5087,4095.0,349.34,165.92
BOS,MA,AA,392015,1814,254.25,618.41,1158693,1158693,5,5,0.3383,2396.0,303.87,254.25
BOS,MA,B6,270934,382,357.61,1825.77,1158693,1158693,5,5,0.2338,2396.0,303.87,254.25
BOS,MA,F9,185055,1424,264.15,1363.75,1158693,1158693,5,5,0.1597,2396.0,303.87,254.25
BOS,MA,NK,233146,960,369.9,414.45,1158693,1158693,5,5,0.2012,2396.0,303.87,254.25
BOS,MA,UA,77543,1313,263.29,726.62,1158693,1158693,5,5,0.0669,2396.0,303.87,254.25
CLT,NC,AA,266569,671,257.56,1841.23,796501,796501,3,3,0.3347,3567.0,250.03,232.57
CLT,NC,B6,350981,579,253.21,1669.01,796501,796501,3,3,0.4407,3567.0,250.03,232.57
CLT,NC,DL,178951,1376,232.57,1890.99,796501,796501,3,3,0.2247,3567.0,250.03,232.57
DEN,CO,AA,436297,549,310.09,1097.84,1377624,1377624,6,6,0.3167,2472.0,318.33,229.5
DEN,CO,AS,207041,467,385.61,1812.42,1377624,1377624,6,6,0.1503,2472.0,318.33,229.5
DEN,CO,B6,117454,1579,435.1,1052.01,1377624,1377624,6,6,0.0853,2472.0,318.33,229.5
DEN,CO,F9,454731,1871,229.5,1750.14,1377624,1377624,6,6,0.3301,2472.0,318.33,229.5
DEN,CO,NK,48674,1858,326.98,1416.0,1377624,1377624,6,6,0.0353,2472.0,318.33,229.5
DEN,CO,WN,113427,1878,458.7,1202.56,1377624,1377624,6,6,0.0823,2472.0,318.33,229.5
DFW,TX,B6,476410,1965,232.23,1535.65,1114365,1114365,3,3,0.4275,3728.0,332.07,232.23
DFW,TX,DL,191268,905,343.6,658.94,1114365,1114365,3,3,0.1716,3728.0,332.07,232.23
DFW,TX,F9,446687,1644,433.61,673.47,1114365,1114365,3,3,0.4008,3728.0,332.07,232.23
DTW,MI,AA,64243,812,370.86,726.47,570292,570292,4,4,0.1126,3871.0,426.24,370.86
DTW,MI,B6,222288,113,457.37,1685.83,570292,570292,4,4,0.3898,3871.0,426.24,370.86
DTW,MI,NK,268535,1918,416.41,1862.37,570292,570292,4,4,0.4709,3871.0,426.24,370.86
DTW,MI,WN,15226,381,378.77,1249.31,570292,570292,4,4,0.0267,3871.0,426.24,370.86
EWR,NJ,AS,460836,466,422.49,969.43,1588661,1588661,6,6,0.2901,2314.0,332.49,155.1
EWR,NJ,B6,129026,965,155.1,1880.73,1588661,1588661,6,6,0.0812,2314.0,332.49,155.1
EWR,NJ,F9,116596,849,166.07,951.86,1588661,1588661,6,6,0.0734,2314.0,332.49,155.1
EWR,NJ,NK,418297,51,279.7,420.36,1588661,1588661,6,6,0.2633,2314.0,332.49,155.1
EWR,NJ,UA,403339,1869,387.59,562.92,1588661,1588661,6,6,0.2539,2314.0,332.49,155.1
EWR,NJ,WN,60567,1822,343.67,1065.59,1588661,1588661,6,6,0.0381,2314.0,332.49,155.1
IAH,TX,AA,10178,1360,427.32,666.66,470663,470663,4,4,0.0216,4193.0,356.08,191.39
IAH,TX,AS,90997,130,289.47,1937.89,470663,470663,4,4,0.1933,4193.0,356.08,191.39
IAH,TX,NK,94601,114,191.39,1820.21,470663,470663,4,4,0.201,4193.0,356.08,191.39
IAH,TX,UA,274887,719,432.17,1801.34,470663,470663,4,4,0.584,4193.0,356.08,191.39
JFK,NY,AA,450198,765,327.84,1953.31,1814922,1814922,6,6,0.2481,2129.0,322.97,215.39
JFK,NY,AS,380860,1157,363.07,558.64,1814922,1814922,6,6,0.2098,2129.0,322.97,215.39
JFK,NY,B6,475659,1541,215.39,1579.48,1814922,1814922,6,6,0.2621,2129.0,322.97,215.39
JFK,NY,DL,5430,1409,490.6,703.8,1814922,1814922,6,6,0.003,2129.0,322.97,215.39
JFK,NY,NK,232569,272,343.25,1944.21,1814922,1814922,6,6,0.1281,2129.0,322.97,215.39
JFK,NY,WN,270206,512,426.89,721.8,1814922,1814922,6,6,0.1489,2129.0,322.97,215.39
LAS,NV,AA,221009,673,298.07,1981.54,1278087,1278087,6,6,0.1729,2018.0,269.72,157.56
LAS,NV,AS,304357,1092,249.48,841.28,1278087,1278087,6,6,0.2381,2018.0,269.72,157.56
LAS,NV,DL,138646,1792,345.7,1496.93,1278087,1278087,6,6,0.1085,2018.0,269.72,157.56
LAS,NV,NK,317102,1069,310.05,1497.6,1278087,1278087,6,6,0.2481,2018.0,269.72,157.56
LAS,NV,UA,258981,1651,157.56,406.16,1278087,1278087,6,6,0.2026,2018.0,269.72,157.56
LAS,NV,WN,37992,861,417.56,1318.55,1278087,1278087,6,6,0.0297,2018.0,269.72,157.56
LAX,CA,AA,316459,1464,491.87,844.3,912531,912531,5,5,0.3468,2557.0,350.95,183.79
LAX,CA,AS,119997,92,456.31,1075.6,912531,912531,5,5,0.1315,2557.0,350.95,183.79
LAX,CA,B6,109418,166,188.81,1279.28,912531,912531,5,5,0.1199,2557.0,350.95,183.79
LAX,CA,DL,85438,1298,438.88,1050.0,912531,912531,5,5,0.0936,2557.0,350.95,183.79
