Origin,OriginState,Carrier,avg_fare_weighted,avg_distance_weighted,total_passengers,row_count
ATL,GA,WN,216.0,1811.46,200897,945
ATL,GA,NK,237.46,1543.9,211963,1372
ATL,GA,AA,439.95,752.95,209327,212
ATL,GA,B6,368.86,1226.58,226375,1688
LAX,CA,B6,448.72,691.85,103566,643
LAX,CA,UA,372.91,1388.37,62858,607
LAX,CA,AS,367.96,700.46,372249,89
LAX,CA,F9,167.37,1255.95,84770,430
LAX,CA,NK,248.74,600.06,58620,947
LAX,CA,DL,152.87,544.32,386213,80
ORD,IL,WN,312.29,1666.28,199719,726
ORD,IL,UA,445.24,1922.63,47060,164
ORD,IL,F9,421.48,514.22,144724,1012
ORD,IL,NK,217.27,1746.46,100212,1723
ORD,IL,AS,439.89,595.14,205056,1623
DFW,TX,NK,408.17,453.62,134584,993
DFW,TX,F9,419.85,1233.82,390520,476
DFW,TX,WN,286.19,1937.94,252896,1967
DEN,CO,UA,478.1,1233.48,395450,568
DEN,CO,AS,373.48,717.96,257302,1867
DEN,CO,NK,452.28,748.46,32308,281
DEN,CO,AA,371.52,919.22,128714,392
JFK,NY,DL,353.38,1505.2,27016,1459
JFK,NY,WN,204.25,1633.28,317586,559
JFK,NY,F9,324.97,1497.51,87679,743
JFK,NY,AA,489.38,1615.3,493032,172
SFO,CA,AS,395.46,1666.35,85697,307
SFO,CA,F9,231.44,1970.68,260770,1664
MIA,FL,F9,282.22,1559.04,366365,563
MIA,FL,AS,163.82,1530.6,476158,1194
MIA,FL,DL,339.96,1184.15,159515,1210
MIA,FL,AA,340.27,917.89,102846,1009
SEA,WA,UA,253.49,821.36,240606,801
SEA,WA,AA,150.25,1420.84,243068,826
SEA,WA,B6,214.94,429.95,389647,1804
SEA,WA,DL,421.61,782.06,195880,1526
BOS,MA,NK,389.13,1625.17,279763,365
BOS,MA,DL,249.1,1055.69,326409,709
LAS,NV,DL,173.34,1736.31,350448,315
LAS,NV,B6,455.72,723.33,98658,1044
PHX,AZ,DL,442.7,1452.67,341462,1126
PHX,AZ,AA,395.46,809.5,332140,800
PHX,AZ,B6,362.08,513.4,120722,1955
IAH,TX,F9,430.36,497.12,250397,1192
IAH,TX,NK,478.39,1065.53,394796,805
IAH,TX,AA,397.95,1717.83,421415,594
MCO,FL,AA,183.99,1560.28,277359,1138
MCO,FL,AS,216.31,1241.91,207024,559
MCO,FL,F9,368.86,686.24,303858,1584
MCO,FL,UA,295.31,568.82,297626,1357
MCO,FL,NK,275.29,1133.95,307285,1412
MCO,FL,WN,458.99,666.89,228910,419
EWR,NJ,NK,260.3,1986.34,478162,714
EWR,NJ,B6,280.1,1622.69,447946,931
EWR,NJ,UA,404.05,1373.46,438143,1203
EWR,NJ,DL,224.87,1625.13,291065,1946
EWR,NJ,WN,238.93,1938.64,395373,966
EWR,NJ,F9,150.07,455.46,213189,632
MSP,MN,AA,225.19,903.85,121332,1630
MSP,MN,B6,480.17,1715.74,435933,1932
MSP,MN,DL,328.95,1313.07,295278,1220
MSP,MN,UA,183.0,1136.59,86115,369
MSP,MN,F9,242.75,1823.4,77565,561
MSP,MN,AS,239.69,880.48,127156,1218
DTW,MI,WN,320.9,1838.44,95650,1489
DTW,MI,AS,436.83,552.58,307111,1365
DTW,MI,AA,163.08,1693.35,162492,831
DTW,MI,UA,423.04,1874.99,46144,734
DTW,MI,F9,457.93,1094.89,187415,1955
PHL,PA,WN,447.32,1885.85,347244,1348
PHL,PA,AS,371.27,486.6,412591,1123
LGA,NY,AS,202.35,1203.84,301177,502
LGA,NY,B6,167.68,1570.53,85319,854
CLT,NC,DL,196.27,532.07,82601,1220
CLT,NC,F9,167.26,1038.71,395759,224
CLT,NC,WN,325.64,1638.12,213942,317
CLT,NC,UA,197.2,1294.87,404524,1049
CLT,NC,AS,378.29,713.76,212260,1311
