Origin,Dest,Carrier,total_passengers,row_count,avg_fare_weighted,avg_distance_weighted,route_total_passengers_all,route_total_passengers_valid,carriers_on_route_all,carriers_on_route_valid,route_share,route_HHI,route_avg_fare_all,route_min_fare_all
ATL,BOS,AS,41001,470,179.54,646.44,146372,146372,2,2,0.2801,5967.0,152.08,141.39
ATL,BOS,WN,105371,80,141.39,646.44,146372,146372,2,2,0.7199,5967.0,152.08,141.39
ATL,CLT,DL,11681,206,311.1,2065.57,11681,11681,1,1,1.0,10000.0,311.1,311.1
ATL,DEN,AA,6199,40,248.53,1757.51,43925,43925,2,2,0.1411,7576.0,242.23,241.2
ATL,DEN,WN,37726,366,241.2,1757.51,43925,43925,2,2,0.8589,7576.0,242.23,241.2
ATL,DFW,DL,97494,114,227.58,1477.98,242046,242046,3,3,0.4028,3406.0,225.36,221.72
ATL,DFW,UA,72120,142,226.01,1477.98,242046,242046,3,3,0.298,3406.0,225.36,221.72
ATL,DFW,WN,72432,383,221.72,1477.98,242046,242046,3,3,0.2992,3406.0,225.36,221.72
ATL,DTW,B6,7649,472,260.18,1356.16,86496,86496,3,3,0.0884,5333.0,207.47,192.06
ATL,DTW,DL,59704,266,192.06,1356.16,86496,86496,3,3,0.6903,5333.0,207.47,192.06
ATL,DTW,WN,19143,340,234.46,1356.16,86496,86496,3,3,0.2213,5333.0,207.47,192.06
ATL,EWR,F9,114109,136,285.74,1842.65,170649,170649,2,2,0.6687,5569.0,283.31,278.42
ATL,EWR,NK,56540,31,278.42,1842.65,170649,170649,2,2,0.3313,5569.0,283.31,278.42
ATL,IAH,AS,18075,319,173.51,498.69,18075,18075,1,1,1.0,10000.0,173.51,173.51
ATL,JFK,AA,113783,159,161.28,1271.61,464479,464479,5,5,0.245,2237.0,202.94,160.5
ATL,JFK,B6,112184,194,237.29,1271.61,464479,464479,5,5,0.2415,2237.0,202.94,160.5
ATL,JFK,F9,93520,171,160.5,1271.61,464479,464479,5,5,0.2013,2237.0,202.94,160.5
ATL,JFK,NK,30799,270,243.61,1271.61,464479,464479,5,5,0.0663,2237.0,202.94,160.5
ATL,JFK,WN,114193,207,234.51,1271.61,464479,464479,5,5,0.2459,2237.0,202.94,160.5
ATL,LAS,AS,58565,430,232.92,1093.74,323033,323033,5,5,0.1813,2650.0,222.85,170.63
ATL,LAS,B6,54769,165,254.32,1093.74,323033,323033,5,5,0.1695,2650.0,222.85,170.63
ATL,LAS,DL,4364,460,234.88,1093.74,323033,323033,5,5,0.0135,2650.0,222.85,170.63
ATL,LAS,UA,94798,172,170.63,1093.74,323033,323033,5,5,0.2935,2650.0,222.85,170.63
ATL,LAS,WN,110537,382,246.22,1093.74,323033,323033,5,5,0.3422,2650.0,222.85,170.63
ATL,LAX,AA,42539,345,226.48,1108.53,160806,160806,5,5,0.2645,2806.0,235.51,199.46
ATL,LAX,DL,56014,107,228.89,1108.53,160806,160806,5,5,0.3483,2806.0,235.51,199.46
ATL,LAX,F9,46338,421,258.12,1108.53,160806,160806,5,5,0.2882,2806.0,235.51,199.46
ATL,LAX,UA,3672,96,276.0,1108.53,160806,160806,5,5,0.0228,2806.0,235.51,199.46
ATL,LAX,WN,12243,221,199.46,1108.53,160806,160806,5,5,0.0761,2806.0,235.51,199.46
ATL,LGA,AA,85510,417,325.65,1434.2,237738,237738,4,4,0.3597,3866.0,273.53,234.05
ATL,LGA,AS,117913,242,234.05,1434.2,237738,237738,4,4,0.496,3866.0,273.53,234.05
ATL,LGA,DL,21995,73,301.13,1434.2,237738,237738,4,4,0.0925,3866.0,273.53,234.05
ATL,LGA,WN,12320,364,240.3,1434.2,237738,237738,4,4,0.0518,3866.0,273.53,234.05
ATL,MCO,AS,30158,401,161.88,1484.62,114348,114348,4,4,0.2637,3544.0,189.86,161.88
ATL,MCO,DL,2467,496,250.47,1484.62,114348,114348,4,4,0.0216,3544.0,189.86,161.88
ATL,MCO,F9,27085,43,233.84,1484.62,114348,114348,4,4,0.2369,3544.0,189.86,161.88
ATL,MCO,WN,54638,353,180.76,1484.62,114348,114348,4,4,0.4778,3544.0,189.86,161.88
ATL,MIA,B6,4362,495,401.97,2329.73,157256,157256,3,3,0.0277,5978.0,310.37,288.44
ATL,MIA,UA,37225,184,288.44,2329.73,157256,157256,3,3,0.2367,5978.0,310.37,288.44
ATL,MIA,WN,115669,427,313.97,2329.73,157256,157256,3,3,0.7355,5978.0,310.37,288.44
ATL,MSP,AA,25384,213,222.02,1601.62,331997,331997,5,5,0.0765,2504.0,250.03,192.44
ATL,MSP,AS,32707,212,248.73,1601.62,331997,331997,5,5,0.0985,2504.0,250.03,192.44
ATL,MSP,NK,108897,459,290.88,1601.62,331997,331997,5,5,0.328,2504.0,250.03,192.44
ATL,MSP,UA,96860,208,192.44,1601.62,331997,331997,5,5,0.2917,2504.0,250.03,192.44
ATL,MSP,WN,68149,35,277.66,1601.62,331997,331997,5,5,0.2053,2504.0,250.03,192.44
ATL,ORD,AA,81896,454,196.55,799.21,306551,306551,4,4,0.2672,3078.0,187.83,181.12
ATL,ORD,DL,109610,17,188.25,799.21,306551,306551,4,4,0.3576,3078.0,187.83,181.12
ATL,ORD,UA,99817,53,181.12,799.21,306551,306551,4,4,0.3256,3078.0,187.83,181.12
ATL,ORD,WN,15228,134,181.99,799.21,306551,306551,4,4,0.0497,3078.0,187.83,181.12
ATL,PHL,UA,91741,211,361.26,2246.83,91741,91741,1,1,1.0,10000.0,361.26,361.26
ATL,PHX,DL,30766,128,129.2,566.93,166679,166679,3,3,0.1846,4425.0,143.13,129.2
ATL,PHX,NK,35478,323,129.75,566.93,166679,166679,3,3,0.2129,4425.0,143.13,129.2
ATL,PHX,UA,100435,325,152.12,566.93,166679,166679,3,3,0.6026,4425.0,143.13,129.2
ATL,SEA,AA,55200,88,234.81,1601.79,306329,306329,4,4,0.1802,2750.0,273.35,234.81
ATL,SEA,AS,56397,475,327.98,1601.79,306329,306329,4,4,0.1841,2750.0,273.35,234.81
ATL,SEA,UA,114886,126,283.96,1601.79,306329,306329,4,4,0.375,2750.0,273.35,234.81
ATL,SEA,WN,79846,287,246.16,1601.79,306329,306329,4,4,0.2607,2750.0,273.35,234.81
ATL,SFO,B6,45953,191,394.03,2716.98,261791,261791,4,4,0.1755,2702.0,337.62,279.7
ATL,SFO,DL,93884,136,279.7,2716.98,261791,261791,4,4,0.3586,2702.0,337.62,279.7
ATL,SFO,F9,69891,260,328.59,2716.98,261791,261791,4,4,0.267,2702.0,337.62,279.7
ATL,SFO,NK,52063,19,404.4,2716.98,261791,261791,4,4,0.1989,2702.0,337.62,279.7
BOS,ATL,AA,113944,20,293.44,2159.5,227331,227331,3,3,0.5012,3956.0,287.7,261.01
BOS,ATL,AS,79443,214,290.87,2159.5,227331,227331,3,3,0.3495,3956.0,287.7,261.01
BOS,ATL,NK,33944,404,261.01,2159.5,227331,227331,3,3,0.1493,3956.0,287.7,261.01
BOS,CLT,DL,95966,236,147.36,813.47,196338,196338,2,2,0.4888,5003.0,155.87,147.36
BOS,CLT,NK,100372,385,164.01,813.47,196338,196338,2,2,0.5112,5003.0,155.87,147.36
BOS,DEN,AA,6410,271,342.49,2568.02,221050,221050,5,5,0.029,3966.0,326.67,307.97
BOS,DEN,AS,6755,479,348.58,2568.02,221050,221050,5,5,0.0306,3966.0,326.67,307.97
BOS,DEN,DL,19978,360,418.78,2568.02,221050,221050,5,5,0.0904,3966.0,326.67,307.97
BOS,DEN,UA,118845,137,307.97,2568.02,221050,221050,5,5,0.5376,3966.0,326.67,307.97
BOS,DEN,WN,69062,301,328.6,2568.02,221050,221050,5,5,0.3124,3966.0,326.67,307.97
BOS,DFW,AS,20825,279,223.32,1365.04,96008,96008,3,3,0.2169,3665.0,217.32,198.34
BOS,DFW,UA,45293,356,227.08,1365.04,96008,96008,3,3,0.4718,3665.0,217.32,198.34
BOS,DFW,WN,29890,375,198.34,1365.04,96008,96008,3,3,0.3113,3665.0,217.32,198.34
BOS,DTW,AA,47298,99,204.84,886.8,220826,220826,5,5,0.2142,3568.0,199.76,154.19
BOS,DTW,AS,4690,182,216.52,886.8,220826,220826,5,5,0.0212,3568.0,199.76,154.19
BOS,DTW,F9,2876,143,176.22,886.8,220826,220826,5,5,0.013,3568.0,199.76,154.19
BOS,DTW,UA,56942,126,154.19,886.8,220826,220826,5,5,0.2579,3568.0,199.76,154.19
BOS,DTW,WN,109020,267,221.26,886.8,220826,220826,5,5,0.4937,3568.0,199.76,154.19
BOS,EWR,AS,30922,310,113.39,352.02,176267,176267,3,3,0.1754,5128.0,119.57,111.33
BOS,EWR,F9,25692,234,111.33,352.02,176267,176267,3,3,0.1458,5128.0,119.57,111.33
BOS,EWR,WN,119653,481,122.93,352.02,176267,176267,3,3,0.6788,5128.0,119.57,111.33
BOS,IAH,AA,107545,128,295.58,1515.25,338129,338129,4,4,0.3181,2628.0,264.85,198.92
BOS,IAH,AS,55812,293,260.7,1515.25,338129,338129,4,4,0.1651,2628.0,264.85,198.92
BOS,IAH,B6,80649,473,303.68,1515.25,338129,338129,4,4,0.2385,2628.0,264.85,198.92
BOS,IAH,WN,94123,19,198.92,1515.25,338129,338129,4,4,0.2784,2628.0,264.85,198.92
BOS,JFK,AA,2632,348,250.13,2332.06,252034,252034,4,4,0.0104,3468.0,268.94,245.43
BOS,JFK,B6,110981,52,290.85,2332.06,252034,252034,4,4,0.4403,3468.0,268.94,245.43
BOS,JFK,NK,77251,267,245.43,2332.06,252034,252034,4,4,0.3065,3468.0,268.94,245.43
BOS,JFK,WN,61170,103,259.7,2332.06,252034,252034,4,4,0.2427,3468.0,268.94,245.43
BOS,LAS,AA,92590,258,189.81,1484.97,329502,329502,5,5,0.281,2262.0,188.94,150.31
BOS,LAS,DL,75136,210,225.47,1484.97,329502,329502,5,5,0.228,2262.0,188.94,150.31
BOS,LAS,F9,77206,160,171.01,1484.97,329502,329502,5,5,0.2343,2262.0,188.94,150.31
BOS,LAS,UA,62299,240,150.31,1484.97,329502,329502,5,5,0.1891,2262.0,188.94,150.31
BOS,LAS,WN,22271,388,232.24,1484.97,329502,329502,5,5,0.0676,2262.0,188.94,150.31
BOS,LAX,UA,99139,88,355.1,2248.73,115446,115446,2,2,0.8587,7573.0,342.22,263.93
BOS,LAX,WN,16307,420,263.93,2248.73,115446,115446,2,2,0.1413,7573.0,342.22,263.93
BOS,LGA,AA,74224,63,262.17,2066.01,447631,447631,5,5,0.1658,2103.0,337.63,262.17
BOS,LGA,AS,102952,410,352.96,2066.01,447631,447631,5,5,0.23,2103.0,337.63,262.17
BOS,LGA,B6,57886,440,383.04,2066.01,447631,447631,5,5,0.1293,2103.0,337.63,262.17
BOS,LGA,DL,99559,64,273.18,2066.01,447631,447631,5,5,0.2224,2103.0,337.63,262.17
BOS,LGA,F9,113010,431,406.74,2066.01,447631,447631,5,5,0.2525,2103.0,337.63,262.17
BOS,MCO,B6,62541,328,270.8,2532.19,62541,62541,1,1,1.0,10000.0,270.8,270.8
BOS,MIA,AA,60814,454,159.3,333.26,350246,350246,4,4,0.1736,2595.0,166.11,145.04
BOS,MIA,F9,86708,318,178.34,333.26,350246,350246,4,4,0.2476,2595.0,166.11,145.04
BOS,MIA,NK,107078,194,178.91,333.26,350246,350246,4,4,0.3057,2595.0,166.11,145.04
BOS,MIA,WN,95646,326,145.04,333.26,350246,350246,4,4,0.2731,2595.0,166.11,145.04
BOS,MSP,B6,17420,90,288.18,2382.7,400240,400240,5,5,0.0435,2324.0,327.28,274.03
BOS,MSP,DL,105325,92,417.81,2382.7,400240,400240,5,5,0.2632,2324.0,327.28,274.03
BOS,MSP,F9,96783,251,318.56,2382.7,400240,400240,5,5,0.2418,2324.0,327.28,274.03
BOS,MSP,UA,82006,363,293.69,2382.7,400240,400240,5,5,0.2049,2324.0,327.28,274.03
BOS,MSP,WN,98706,257,274.03,2382.7,400240,400240,5,5,0.2466,2324.0,327.28,274.03
BOS,ORD,AS,58885,253,206.83,1197.61,155563,155563,4,4,0.3785,3000.0,190.12,175.81
BOS,ORD,B6,48663,260,175.81,1197.61,155563,155563,4,4,0.3128,3000.0,190.12,175.81
BOS,ORD,DL,12325,425,196.1,1197.61,155563,155563,4,4,0.0792,3000.0,190.12,175.81
BOS,ORD,F9,35690,226,180.0,1197.61,155563,155563,4,4,0.2294,3000.0,190.12,175.81
BOS,PHL,WN,103376,33,269.69,1515.91,103376,103376,1,1,1.0,10000.0,269.69,269.69
BOS,PHX,AS,93966,222,137.66,319.69,93966,93966,1,1,1.0,10000.0,137.66,137.66
BOS,SEA,AA,113092,256,73.36,334.69,258809,258809,4,4,0.437,3498.0,83.61,73.36
BOS,SEA,AS,57619,449,110.13,334.69,258809,258809,4,4,0.2226,3498.0,83.61,73.36
BOS,SEA,B6,2582,106,103.54,334.69,258809,258809,4,4,0.01,3498.0,83.61,73.36
BOS,SEA,DL,85516,133,78.7,334.69,258809,258809,4,4,0.3304,3498.0,83.61,73.36
BOS,SFO,B6,106384,480,268.48,2193.39,280340,280340,4,4,0.3795,3344.0,308.94,241.58
BOS,SFO,F9,24759,319,241.58,2193.39,280340,280340,4,4,0.0883,3344.0,308.94,241.58
BOS,SFO,UA,114708,118,346.92,2193.39,280340,280340,4,4,0.4092,3344.0,308.94,241.58
BOS,SFO,WN,34489,64,355.79,2193.39,280340,280340,4,4,0.123,3344.0,308.94,241.58
CLT,ATL,AS,46163,148,211.47,675.55,152126,152126,3,3,0.3035,3492.0,197.92,190.05
CLT,ATL,UA,40026,156,190.05,675.55,152126,152126,3,3,0.2631,3492.0,197.92,190.05
CLT,ATL,WN,65937,487,193.21,675.55,152126,152126,3,3,0.4334,3492.0,197.92,190.05
CLT,BOS,AS,68854,496,325.29,2597.88,200283,200283,4,4,0.3438,3542.0,317.0,300.57
