Origin,Dest,Carrier,avg_fare_weighted,avg_distance_weighted,total_passengers,row_count
ATL,LAX,AA,287.09,2258.02,54999,458
ATL,LAX,NK,296.41,2258.02,44350,462
ATL,ORD,WN,269.45,1809.8,119422,102
ATL,ORD,B6,244.96,1809.8,55271,14
ATL,DFW,AS,191.12,1232.56,63781,266
ATL,DFW,NK,145.95,1232.56,26938,180
ATL,DFW,B6,182.02,1232.56,89675,387
ATL,DEN,B6,213.41,1387.34,105394,378
ATL,DEN,F9,279.5,1387.34,77960,285
ATL,DEN,WN,267.69,1387.34,99560,155
ATL,DEN,NK,210.61,1387.34,44095,311
ATL,DEN,DL,333.9,1387.34,82687,42
ATL,JFK,NK,143.4,877.36,77949,145
ATL,JFK,WN,195.99,877.36,39858,446
ATL,JFK,B6,190.11,877.36,5573,352
ATL,JFK,AS,171.45,877.36,119038,212
ATL,SFO,AA,157.97,401.36,59384,11
ATL,SFO,B6,141.55,401.36,56862,48
ATL,SFO,DL,206.45,401.36,105671,284
ATL,MIA,NK,272.44,1541.59,70504,157
ATL,MIA,AA,206.73,1541.59,102693,130
ATL,MIA,B6,260.33,1541.59,51490,178
ATL,MIA,UA,258.44,1541.59,23730,112
ATL,MIA,F9,275.31,1541.59,2362,50
ATL,SEA,WN,170.19,548.65,96315,346
ATL,SEA,F9,208.07,548.65,38814,222
ATL,SEA,AA,229.52,548.65,21715,114
ATL,BOS,AS,315.24,2212.73,71582,337
ATL,BOS,AA,230.59,2212.73,9490,89
ATL,LAS,AA,356.17,2683.96,101469,493
ATL,PHX,UA,235.56,1143.82,109970,248
ATL,PHX,AA,170.48,1143.82,67448,352
ATL,PHX,WN,185.94,1143.82,81026,52
ATL,IAH,DL,210.8,1269.7,33304,476
ATL,IAH,UA,217.97,1269.7,81809,416
ATL,IAH,F9,152.88,1269.7,100964,42
ATL,MCO,UA,167.26,700.85,70598,483
ATL,MCO,F9,208.03,700.85,99762,25
ATL,EWR,NK,146.6,558.92,106905,95
ATL,EWR,F9,162.61,558.92,25422,257
ATL,EWR,WN,160.06,558.92,101879,367
ATL,MSP,WN,365.27,2386.28,102836,404
ATL,DTW,NK,112.27,797.78,59863,302
ATL,DTW,UA,101.54,797.78,47085,350
ATL,DTW,AS,141.19,797.78,49329,222
ATL,DTW,F9,153.05,797.78,98768,171
ATL,PHL,DL,228.31,1601.29,78210,263
